id,stc,estc,title,author,publisher,pubplace,keywords,date
A07873,18244,S101322,"A treatyse of the newe India with other new founde landes and islandes, aswell eastwarde as westwarde, as they are knowen and found in these oure dayes, after the description of Sebastian Munster in his boke of universall cosmographie: wherin the diligent reader may see the good successe and rewarde of noble and honeste enterpryses, by the which not only worldly ryches are obtayned, but also God is glorified, [and] the Christian faythe enlarged. Translated out of Latin into Englishe. By Rycharde Eden.","Münster, Sebastian, 1489-1552.; Eden, Richard, 1521?-1576.",In Lombard strete by S Mierdman for Edward Sutton,Imprinted at London,Voyages and travels --  Early works to 1800. -- America --  Discovery and exploration --  Early works to 1800.,1553
A01467,11593.5,S2992,Theyr dedes in effecte my lyfe wolde haue Stephen Wynton. Your dedes in effecte that made your lyfe braue / H.S.,"Gardiner, Stephen, 1483?-1555.; Gardiner, Stephen, 1483?-1555.; H. S.",s n,London,"Gardiner, Stephen, 1483?-1555.",1548
A00601,10737,S101878,A second parallel together with a vvrit of error sued against the appealer.,"Featley, Daniel, 1582-1645.",Printed by J Haviland for Robert Milbourne,London,"Montagu, Richard, 1577-1641. --  Appello Caesarem --  Early works to 1800. -- Pelagianism --  Controversial literature --  Early works to 1800. -- Arminianism --  Controversial literature --  Controversial literature --  Early works to 1800.",1626
A01567,11693,S102953,"A declaration made by the Archbishop of Collen, vpon the deede of his mariage, sent to the states of his archbishoprike VVith the letter of Pope Gregorie the. 13 against the celebration of the same mariage, and the Bishops aunswer therevnto. According to the coppie imprinted at Collen. 1583.","Gebhard, Truchsess von Waldburg, Archbishop and Elector of Cologne, 1547-1601.; Deloney, Thomas, 1543?-1600.; Gregory XIII, Pope, 1502-1585.",Printed by Iohn VVoolfe,London,"Gebhard, --  Truchsess von Waldburg, Archbishop and Elector of Cologne, 1547-1601. -- Celibacy --  Catholic Church --  Early works to 1800.",1583
A08911,19189,S115392,The workes of that famous chirurgion Ambrose Parey translated out of Latine and compared with the French. by Th: Johnson,"Paré, Ambroise, 1510?-1590.; Paré, Ambroise, 1510?-1590.; Johnson, Thomas, d. 1644.; Cecil, Thomas, fl. 1630, engraver.; Baker, George, 1540-1600.",Printed by Th Cotes and R Young,London,Medicine --  Early works to 1800. -- Surgery --  Early works to 1800. -- Anatomy --  Early works to 1800.,1634
A06400,16869.5,S109645,"The whole course of chirurgerie wherein is briefly set downe the causes, signes, prognostications & curations of all sorts of tumors, wounds, vlcers, fractures, dislocations & all other diseases, vsually practiced by chirurgions, according to the opinion of all our auncient doctours in chirurgerie. Compiled by Peter Lowe Scotchman, Arellian, Doctor in the Facultie of Chirurgerie in Paris, and chirurgian ordinarie to the most victorious and christian King of Fraunce and Nauarre. Whereunto is annexed the presages of diuine Hippocrates.","Lowe, Peter, ca. 1550-ca. 1612.; Hippocrates. Prognostics. English. aut",Printed by Thomas Purfoot,London,Surgery --  Early works to 1800.,1597
A07666,18057,S112851,"A mappe of mans mortalitie Clearely manifesting the originall of death, with the nature, fruits, and effects thereof, both to the vnregenerate, and elect children of God. Diuided into three bookes; and published for the furtherance of the wise in practise, the humbling of the strong in conceit, and for the comfort and confirmation of weake Christians, against the combat of death, that they may wisely and seasonably be prepared against the same. Whereunto are annexed two consolatory sermons, for afflicted Christians, in their greatest conflicts. By Iohn Moore, minister of the word of God, at Shearsbie in Leicester-shire.","Moore, John, d. 1619.",Printed by T homas S nodham for George Edvvards and are to be sold at the signe of the Greyhound in Paules Church yard,London,Death --  Early works to 1800. -- Man (Theology) --  Early works to 1800.,1617
A09462,19747.7,S4051,"Satans sophistrie ansuuered by our Sauiour Christ and in diuers sermons further manifested / by that worthy man Maister William Perkins ; to which is added, a comfort for the feeble minded, wherein is set downe the temptations of a Christian.","Perkins, William, 1558-1602.",Printed by Richard Field for E E and are to be sold at the signe of the Swanne in Paules Church yard,London,Sin --  Early works to 1800. -- Devil --  Early works to 1800.,1604
A07380,17764,S114539,True newes from [Mecare:] and also out of Worcestershire,"Drucateen, James.",For William Barley,Printed at London,No Keywords,1598
A06500,16975.5,S108926,"A commentarie vpon the fiftene Psalmes, called Psalmi graduum, that is, Psalmes of degrees faithfully copied out of the lectures of D. Martin Luther ; very frutefull and comfortable for all Christian afflicted consciences to reade ; translated out of Latine into Englishe by Henry Bull.","Luther, Martin, 1483-1546.; Bull, Henry, d. 1575?",By Thomas Vautroullier dwelling in the Blacke Friers by Ludgate,Imprinted at London,Bible. --  O.T. --  Psalms CXX-CXXXIV --  Commentaries.,1577
A06251,16739.5,S2790,"A true report of all the burials and christnings within the      city of London and the liberties thereof, from the 23. of December, 1602 to the 22. of December 1603 whereunto is added the number of euery   seuerall parish, from the 14. of Iuly to the 22. of December, aswell within    the citie of London and the liberties thereof, as in other parishes in the     skirtes of the cittie, and out of the freedome adioyning to the cittie :        according to the weekly reports made to the Kings Most Excellent Maiestie / by the Company of Parish Clearks of the same citie.",Worshipful Company of Parish Clerks.,Printed by Iohn Windet printer to the honourable city of London,London,Mortality --  England --  London --  Statistics. -- London (England) --  History --  17th century.,1603
A07280,17676,S114453,"The triumphs of Nassau: or, A description and representation of all the victories both by land and sea, granted by God to the noble, high, and mightie lords, the Estates generall of the vnited Netherland Prouinces Vnder the conduct and command of his excellencie, Prince Maurice of Nassau. Translated out of French by W. Shute Gent.","Orlers, Jan Janszn., 1570-1646.; Shute, W.; Haestens, Henrick van. aut",Printed by Adam Islip,London,"Maurice, --  Prince of Orange, 1567-1625. -- Netherlands --  History --  Wars of Independence, 1566-1648 --  Early works to 1800.",1613
A08704,1901,S101626,"The last summons, or an oration sent to the inhabitants of the towne of Rochell, to mooue them to yeild the towne vnto his Maiestie, and to obay his commandements. Written by Monsieur le Marquis de Berguille","Bergeville, Marquis de.",S n,London,"La Rochelle (France) --  History --  Siege, 1621 --  Early works to 1800.",1621
A09233,19546,S110405,"Polyhymnia describing, the honourable triumph at tylt, before her Maiestie, on the 17. of Nouember, last past, being the first day of the three and thirtith yeare of her Highnesse raigne. With Sir Henrie Lea, his resignation of honour at tylt, to her Maiestie, and receiued by the right honorable, the Earle of Cumberland.","Peele, George, 1556-1596.",By Richard Ihones,Printed at London,"Great Britain --  History --  Elizabeth, 1558-1603 --  Early works to 1800.",1590
A04006,14077C.73,S2981,Unto all maner & singuler Cristen people beholdynge or herynge these present letters shall come gretynge ...,Catholic Church. Pope (1513-1521 : Leo X); Catholic Church. Pope (1513-1521 : Leo X),R Pynson,S l,"Guild of St. George (Southwark, England) -- Indulgences. -- Broadsides --  England --  16th century.",1520
A03925,14032,S121792,"Luke Huttons lamentation which he wrote the day before his death, being condemned to be hanged at Yorke this last assises for his robberies and trespasses committed. To the tune of Wandering and wauering [...]","Hutton, Luke, d. 1596.",For Thomas Millington,Printed at London,No Keywords,1598
A03825,13941,S119246,"Huloets dictionarie newelye corrected, amended, set in order and enlarged, vvith many names of men, tovvnes, beastes, foules, fishes, trees, shrubbes, herbes, fruites, places, instrumentes &c. And in eche place fit phrases, gathered out of the best Latin authors. Also the Frenche therevnto annexed, by vvhich you may finde the Latin or Frenche, of anye English woorde you will. By Iohn Higgins late student in Oxeforde.","Huloet, Richard.; Higgins, John, fl. 1570-1602.",In ædibus Thomæ Marshij,Londini,English language --  Dictionaries --  Latin --  Early works to 1800.,1572
