id,stc,estc,title,author,publisher,pubplace,keywords,date
B31883,W2371,R205698,"His Majesties most gracious letter to the Parliament of Scotland. With the speech of the Marquis of Tweeddale, His Majesties High Commissioner, and the speech of the Earl of Annandale, Lord President of the Parliament. Published by authority.","England and Wales. Sovereign (1694-1702 : William III); England and Wales. Sovereign (1694-1702 : William III); Tweedale, John Hay, Marquess of, 1626?-1697.; Annandale, William Johnston, Marquis of, 1664-1721.",Edinburgh printed by the heirs and successors of Andrew Anderson And reprinted by Edward Jones in the Savoy,London,"Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800.",1695
B32625,None,R226299,"A proposal, humbly offer'd to the consideration of the honourable the Commons of England in Parliament assembled, for raising a farther supply towards the erecting and maintenance of the intended college or hospital at Greenwich, for ancient and maimed mariners and seamen; or such other good and publick use, as the honourable House shall think fit.",P. C.; P. C.; D. C. aut,s n,London,Royal Hospital for Seamen at Greenwich --  Early works to 1800. -- Sailors --  England --  Social conditions --  Early works to 1800.,1694
B36974,F1396,None,"An ceud chaogad do shalmaibh Dhaibhidh ar a dtarring as an eabhra a meadar dhana gaod︡hilg, le seanadh earraghaoidheal / neoch a dorduigh an feinm a heaglaisaibh, agus a dteaghlichaibh a ghnathuigheas an chanambain sin is na criochaibh ceudna. ",Anonymous,Do chuireadh so a gelo a Nglasgo ie Aindra Aindrason,Glasgow,No Keywords,1659
B32754,None,R231672,Post nubila Phoebus. Nihil absque Deo.,"Read, William, Sir, d. 1715; Read, William, Sir, d. 1715",s n,S l,"Read, William, --  Sir, d. 1715 --  Early works to 1800. -- Occultism --  Early works to 1900. -- Ophthalmology --  England --  Early works to 1800. -- Ophthalmologists --  England --  Early works to 1800. -- Broadsides --  England --  17th century.",1694-1700?
B30435,T609,None,"The tears of the press, with reflections on the present state of England",Anonymous,Printed and are to be sold by Richard Janeway,London,Press --  England --  History --  17th century.,1681
B32662,None,R223025,"The abstract of the case of Richard Reed the younger, esquire, respondent to the appeal of Walter Williams esq; and Elizabeth his wife appealants.","Williams, Walter.; Williams, Walter.",s n,S l,"Reed, Richard --  fl. 1685. --  Early works to 1800. -- Williams, Elizabeth --  Early works to 1800.",1685
B32033,W2564,None,By the king and queen.  A proclamation. William R.  Declaring the war in Ireland to be ended.,"England and Wales. Sovereign (1689-1694 : William and Mary); England and Wales. Sovereign (1689-1694 : William and Mary); William III, King of England, 1650-1702.; Mary II, Queen of England, 1662-1694.",Printed by Andrew Crook assignee of Benjamin Tooke printer to the King and Queen s Most Excellent Majesties on Ormond Key,Dublin,"Great Britain --  History --  William and Mary, 1689-1702. -- Ireland --  History --  War of 1689-1691.",1691
B31128,T3047,None,A true relation of the severall passages which have happened to our army since it advanced towards Glocester with the manner of the reliefe of the same related in a letter / from a Friend in the Army to an honourable person here in the city ; likewise an abstract of severall remarkable passages which happened at Glocester between the towne and the enemy in the time of the siege collected by an eye witnesse.,Friend in the Army.; Friend in the Army.,Printed by G Dexter for Stephen Bowtell,London,"Gloucester (England) --  History --  Siege, 1643. -- Gloucester (England) --  History. -- Great Britain --  History --  Civil War, 1642-1649.",1643
B31911,W2436,R225366,"By the King, a proclamation. William R. Whereas his Majesty has received information, that the persons herein after named, have, with divers other wicked and traiterous persons, committed high treason, ...","England and Wales. Sovereign (1694-1702 : William III); England and Wales. Sovereign (1694-1702 : William III); William III, King of England, 1650-1702.",printed by Charles Bill and the executrix of Thomas Newcomb deceas d printers to the Kings most excellent Majesty,London,"Fenwick, John, --  Sir, 1645?-1697 --  Treason --  Early works to 1800. -- Conspiracies --  England --  Early works to 1800. -- Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800",1696
B30233,S5822,None,"Strange and miraculous news from St. Omers being an account of the wonderful life and death of a popish saint and martyr named Mr. Edmund Gennings, priest who was executed for treason some years since : with a relation of the miracles at and after his death : wherein may be observed what lying wonders the credulous papists are made to believe, both against sense and reason.",Anonymous,s n,London,"Geninges, Edmund, 1567-1591. -- Catholics --  Great Britain --  Biography.",1680
B36289,None,None,"Decemb. 6. 1708. Advertisement to book-sellers, and others. Whereas there hath been a book lately printed and publish'd, intituled, The neat duties (all discounts and abatements deducted) of all merchandize specify'd in the Book of Rates, begun in the 12th Car. II. with the several variations to this present year 1708. The said book hath, upon examination, been found very erroneous and false ... besides several omissions. This is to give notice, that there is preparing for the press, and will speedily be publish'd at Her Majesties printing-office in Black-Fryers, a book of all the neat duties upon merchandize both inwards and outwards ... and will be sold at a very reasonable price at the place aforesaid, and at most book-sellers ...",Anonymous,H M Printing Office,London,Publishers and publishing --  England --  London --  Early works to 1800. -- Advertising fliers --  England --  London --  18th century.,1708
B34573,None,None,"Note, that whereas in the returne Quind. Pasce, the number 21 is twice set downe, ...","Alleyn, George.; H. A.",s n,S l,Writs --  Great Britain. -- Type and type-founding --  England --  Specimens -- English poetry --  17th century.,1500-1599?
B30899,T2328A,R185530,"A true account of a most terrible storm of thunder and lightning, that happened at Cruise Morchard, four miles distant from Tiverton in Devonshire, on Monday, being the 18th of February last past, about one of the clock in the morning.",Anonymous,Printed for R Baldwin in the Old Baily,London,Thunderstorms --  England --  Devonshire --  Early works to 1800. -- Tiverton (England) --  History --  Early works to 1800. -- Devon (England) --  History --  Early works to 1800. -- Broadsides --  England --  17th century.,1689
B32611,None,R225847,"By the Lords Justices and Council. Mich. Armach. C. Granard. Whereas by proclamation dated the 20th. of June 1685. for the reasons therein expressed, we did strictly require and command every captain, or in his absence, and other officer in chief of the militia within this kingdom, ... to call for and gather together all the fire-arms appertaining to his troop ...","Ireland. Lords Justices and Council.; Ireland. Lords Justices and Council.; Granard, Arthur Forbes, Earl of, 1623-1696.",Printed by Benjamin Tooke printer to the Kings most excellent Majesty and are to be sold by Andrew Crook at His Majesties Printing house on Ormonde Key and Samuel Helsham at the Colledge Arms in Castle street,Dublin,Ireland --  Militia --  Early works to 1800. -- Ireland --  History --  1649-1775 --  Early works to 1800. -- Ireland --  Politics and government --  17th century --  Early works to 1800.,1685
B36556,None,None,"The spouse raised from under the apple-tree, or, The way by which children of wrath come to be made the children of grace opening the doctrine of our redemption by the Lord Jesus Christ, both in respect to the purchase and application / by John Collings ...","Collinges, John, 1623-1690.; Collinges, John, 1623-1690.",Printed for Rich Tomlins,London,"Sermons, English --  17th century.",1650
B36215,None,None,"Whereas we are informed, that there is brought into the port of London from [ blank ] in the ship or vessel called the [ blank ] whereof [ blank ] is master, [ blank ] of books, marked as in the margent, and specified in a catalogue presented unto us upon the accompt of  [ blank ]. These are to certify that in pursuance of act of Parliament in that behalf made, we have appointed [ blank ] or either of them, with one or more of the Company of Stationers ... to be present at the opening thereof, and to view the same ...",England and Wales. Commissioners of Customs.; England and Wales. Commissioners of Customs.,s n,London,Customs administration --  Great Britain --  Early works to 1800. -- Customs administration --  Forms --  Early works to 1800.,16uu
B31415,W22,R229000,A speedy way to supply their majesties occasions.,E. W.; E. W.,s n,London,"Finance, Public --  Great Britain --  To 1688 --  Early works to 1800. -- Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800.",1694
B30874,T2250A,None,"The tryals of Henry Cornish, Esq for conspiring the death of the King, and raising rebellion in this kingdom : and John Fernley, William Ring, and Elizabeth Gaunt for harbouring and maintaining rebels, at the Sessions-house in the Old-Bailey, London and County of Middlesex, on Monday, Octob. 19, 1685.","Cornish, Henry, d. 1685.; Cornish, Henry, d. 1685.; Fernley, John, d. 1685.; Ring, William, d. 1685.; Gaunt, Elizabeth, d. 1685.",Printed and sold by George Croom,London,"Monmouth's Rebellion, 1685. -- Trials (Treason) --  Great Britain.",1685
B31104,T2970,None,"A True relation of the inhumane and unparallel'd actions and barbarous murders of Negroes or Moors committed on three English-men in Old Calabar in Guinny of the wonderful deliverance of the fourth person, after he had endured horrid cruelties and sufferings, who lately arrived in England, and is now in His Majesties fleet : together with a short but true account of the customs and manners and growth of the country, which is very pleasant.",Anonymous,Printed for Thomas Passinger and Benjamin Hurlock,London,Slave trade --  Nigeria --  Early works to 1800. -- Calabar (Nigeria) --  History. -- Calabar (Nigeria) --  Description and travel.,1672
B31923,W2446,R228591,"By the King, a proclamation. William R. Whereas this present Parliament stands prorogued to Thursday the sixteenth day of November next; ...","England and Wales. Sovereign (1694-1702 : William III); England and Wales. Sovereign (1694-1702 : William III); William III, King of England, 1650-1702.",printed by Charles Bill and the executrix of Thomas Newcomb deceas d printers to the Kings most excellent Majesty,London,"England and Wales. --  Parliament --  Early works to 1800. -- Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800.",1699
B31907,W2434,R228569,"By the King, a proclamation. William R. Whereas his Majesty hath received information upon oath, of a horrid and detestable conspiracy, to assassinate and murther his Royal Person, carried on by Papists and other wicked and traiterous persons; ...","England and Wales. Sovereign (1694-1702 : William III); England and Wales. Sovereign (1694-1702 : William III); William III, King of England, 1650-1702.",printed by Charles Bill and the executrix of Thomas Newcomb deceas d printers to the Kings most excellent Majesty,London,"Anti-catholicism --  England --  Early works to 1800. -- Conspiracies --  England --  Early works to 1800. -- Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800.",1696
