id,stc,estc,title,author,publisher,pubplace,keywords,date
A91383,P4268,R211488,"The heads of a conference delivered by Mr. Pymm. ; At a committee of both Houses, Junii 24, 1641.","Pym, John, 1584-1643.; Pym, John, 1584-1643.",s n,London,"Great Britain --  Politics and government --  1625-1649. -- Great Britain --  History --  Charles I, 1625-1649.",1641
A94279,S999B,R207937,"A letter sent from the Commissioners of Scotland, to his Excellency the Lord General Monck, in the behalf of themselves and the whole nation. From Edenburgh the third day of March, 1660.",Scotland. Parliament.; Scotland. Parliament.,printed for Daniel VVhite at the Seven Stars in St Paul s Church yard,London,"Albemarle, George Monck, --  Duke of, 1608-1670 --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.",1660
A90352,B975,R208578,"New anatomical experiments of John Pecquet of Deip. By which the hitherto unknown receptacle of the chyle, and the transmission from thence to the subclavial veins by the now discovered lacteal chanels of the thorax, is plainly made appear in brutes. As also an anatomical dissertation of the motion of blood and chyle. Together with the further description of the same lacteal chanels newly discovered in the body of man as well as brutes. Being an anatomical historie, publickly propos'd by Thomas Bartoline, Dr. and Reg. Professor both in Physick and Anatomy, to Michael Lysere, answering.","Pecquet, Jean, 1622-1674.; Pecquet, Jean, 1622-1674.; Bartholin, Thomas, 1616-1680. De lacteis thoracicis et vasis lymphaticiis. English.; Lyser, Michael, 1626-1659.",Printed by T W for Octavian Pulleyn and are to be sold at his shop at the sign of the Rose in St Paul s Church yard,London,Human anatomy --  Early works to 1800. -- Thoracic duct --  Early works to 1800. -- Chyle --  Early works to 1800. -- Blood --  Circulation --  Early works to 1800.,1653
A91665,R1071,R207744,"A reply to the Danish papers presented to the members of Parliament the 23 of February last, concerning the question: whether England should not assist the Swede, as well as the Dutch do the Dane. Answered by a true English man.",True English man.; True English man.,s n,London,"Great Britain --  Foreign relations --  Sweden --  History --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800.",1659
A91134,P3885,R203216,"Aurorata· By Thomas Prujean, student of Gonvile and Caius Colledge in Cambridge.","Prujean, Thomas, 1622 or 3-1662.; Prujean, Thomas, 1622 or 3-1662.",Printed for Hugh Perry neere Ivy Bridge in the Strand,London,No Keywords,1644
A90403,P1237,R210514,"The penitant traytor or the humble confession of a Devonshire gentleman, who was condemned for high treason, and executed at Tyborne for the same, in the raigne of King Henry the third, the ninteenth of July, 1267. You may sing this if you please. To the tune of, Fortune my foe.",Anonymous,s n,London,"Ballads, English --  17th century. -- Great Britain --  History --  Henry III, 1216-1272 --  Poetry --  Early works to 1800.",1647
A91765,R1325,R205813,"The declaration and protestation, of the Parliament of Scotland to their declared King: touching, their late agreement, the setling of the Presbytery government, and the future preservation of that kingdome. With, the resolution of the Emperour of Germany, the Queen of Sweden, and the King of Denmark, concerning the said King. Also, the proceedings of the Scotch ministers, to their respective congregations, concerning their King, and the advance of the English-Army.","Reynor, William.; Reynor, William.",Printed by R W,London,"Charles --  II, --  King of England, 1630-1685 --  Early works to 1800. -- Scotland. --  Parliament --  Early works to 1800. -- Presbyterianism --  Early works to 1800.",1650
A91034,P3528B,R208639,"A private conference betvveen Mr. L. Robinson, and Mr. T. Scott, occasioned upon the publishing his Maiesties letters and declaration.",Anonymous,Printed for Isack Goulden at the Dolphin in Pauls Church Yard,London,"Lambert, John, 1619-1683 --  Humor --  Early works to 1800. -- Albemarle, George Monck, --  Duke of, 1608-1670 --  Humor --  Early works to 1800. -- Charles --  II, --  King of England, 1630-1685 --  Humor --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Humor --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Humor --  Early works to 1800.",1660
A90503,P1561A,R181681,"Cyfarwydd-deb pr Anghyfarwydd, sef, llyer yn cynnwys, 1. Agoriad byrr ar Weddi 'r Arglwydd. 2. Ymddidanion rhwng y Carwr a'r Cymro. 3. Ymddidanion rhwng Crist a'r Publican, rhwng Crist a'r Pharisaed, a rhwng Crist a'r Credadyn ammheus, sef Canwyll Crist. 4. Amryw Reolau Duwiol: : y cwbli gyfarwyddo pol 1, pa fodd i chwilio 'r ferythyrrau er lefadiw Heneidiau: a pha fodd i ddyfod at Grist i gael iechydwriaeth dragwyddol : a pha fodd i weddio yn fol ewyllys Duw, i gael gras a thrugaredd oddiwrtho ef, a pha fodd i fyw'n santaidd yn y Byd presennol.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Powell, Vavasor, 1617-1670.",gan Thomas Dawks printiwr yng hymraeg i ardderchoccat Fawrhydiy Brenin,Ai bri o yn LLundain,"Theology, Doctrinal --  Early works to 1800.",1677
A94379,T1307,R212059,'Tis a plaine case gentlemen:,Anonymous,Printed by Stephen Bvkley,Yorke,"Royalists --  Poetry --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Poetry --  Early works to 1800.",1643
