id,stc,estc,title,author,publisher,pubplace,keywords,date
B20760,C6589A,None,"The court of honour, or, The vertuous Protestant's looking-glass being the true and lively characters (or descriptions of the chief and most noble worthies that maintain any pious princes crown, or make happy a kingdom, with their several qualifications, dignities and tytles : wherein good kings may view their own images, virtuous noblemen see their own pictures, subjects learn loyal obedience ... / vvritten by a royalist ...","Royalist.; Royalist.; Breton, Nicholas, 1545?-1626? Good and the badde.",Printed by A Purslow and Tho Haly,London,"Great Britain --  History --  Charles II, 1660-1685.",1679
B27912,P913A,R232583,"Any gentlemen or others, may be furuished [sic] with all sorts of cloaths made after the best manner yet notwithstanding the goodness of the work, the prices will be less than has been yet proposed, therefore if any one have occasion let them come to me, and make choise [sic] of a pattern, and I doubt not but to please the most nicest fancy: ...","Payne, William, fl. 1700.; Payne, William, fl. 1700.",s n,London,Advertising --  Clothing and dress --  Early works to 1800. -- Tailoring --  Early works to 1800. -- Broadsides --  England --  17th century.,1700
B23939,H779,None,A scriptural and rational account of the Christian religion particularly concerning justification only by the propitiation and redemption of the Lord Jesus Christ / by Sir Edward Harley.,"Harley, Edward, Sir, 1624-1700.; Harley, Edward, Sir, 1624-1700.",Printed for J Luntley,London,"Justification. -- Redemption. -- Theology, Doctrinal.",1695
B29252,S345,R8952,"The history of baptism, or, One faith, one baptism in the several edition thereof under Noah, Moses, Christ : with an appendix thereunto, being an assay to give the sence of our blessed Saviours commission to preach and baptise : to which is added an explicatory index, being a summary of certain definitions and distinctions collected chiefly out of S. Pauls epistles, comprehending much of the substance of the Gospel ... / by J. St. N.","J. St. N. (John St. Nicholas), 1604-1698.; J. St. N. (John St. Nicholas), 1604-1698.",Printed for S Lee and D Major,London,Baptism --  History --  Early works to 1800.,1678
B28283,P3040A,None,Proposals for raising a thousand pounds,"Povey, Charles, 1652?-1743.; Povey, Charles, 1652?-1743.",printed by Henry Hills in Black Fryers near the Water side,London,Coal trade --  Early works to 1800.,1699
B27707,O690,None,"The passion of Byblis made English, from Ovid, Meami [sic] Lib. 9 / by Mr. Dennis.","Ovid, 43 B.C.-17 or 18 A.D.; Ovid, 43 B.C.-17 or 18 A.D.; Dennis, John, 1657-1734.",Printed for Rich Parker,London,Latin literature --  Translations into English. -- English literature --  Translations from Latin.,1692
B29352,S1002A,None,"The desires of the commissioners of the kingdom of Scotland that both Houses of Parliament may sit in freedom for setling of religion, according to the covenant that King Charles the Second, upon just satisfaction given, may be admitted to the government of these kingdomes : together with their protestation against their proceedings to the contrary.",Scotland. Parliament.; Scotland. Parliament.,s n,London,Scotland --  Church history. -- Great Britain --  Politics and government --  1642-1649.,1648
B26461,M335A,None,"[A] true account of what was done by a Church of Christ in Exon (whereof Mr. Lewis Stucley is pastor) the eighth day of March, 1657. when two members thereof were excommunicated. Together with the judgement of the non-conformists in the dayes of Q. Elizabeth, and K. Iames, concerning excommunication by a particular church. [Pu]blished by an eye abd ear-witness.","Mall, Thomas, b. 1629 or 30.; Mall, Thomas, b. 1629 or 30.",printed by R W for Matthew Keinton at the Fountain in Pauls Church yard,London,"Excommunication --  Early works to 1800. -- Dissenters, Religious --  England --  Early works to 1800.",1658
B28383,P3530,None,A Private letter from an Eminent Cavalier to his highly honoured friend in London ; freely relating the present state of His Majesties forces.,Eminent cavalier.; Eminent cavalier.,s n,London,"Great Britain --  History --  Civil War, 1642-1649 --  Sources.",1642
B27607,O303A,None,"On the death of Captaine Richard Lacy who at that treacherous surprisall at Brainford, the 12th of November, 1642 being forced in the Thames, was drowned.",Anonymous,s n,London,"Great Britain --  History --  Civil War, 1642-1649 --  Poetry.",1642
B24067,H1291B,None,"Heads of the additional bill for paving, cleansing, &c. London.",Anonymous,s n,London,Broadsides --  England --  London --  Early works to 1800. -- City planning --  England --  London --  Early works to 1800. -- Roads --  Maintenance and repair --  England --  Early works to 1800. -- London (England) --  Social conditions --  Early works to 1800.,1672
B25550,L16,R224800,"Proposals by E.L. to raise one million three hundred thousand pounds. A general tax for five years to be laid on all measures, wett and dry, long measures, scales and stilliards, wherewith any sort of merchandize or commodity is sold or exchanged. ...",E. L.; E. L.,s n,London,Taxation --  England --  Early works to 1800. -- Mensuration --  Early works to 1800.,1700
B25201,J411,R225950,"By the King: James R. Whereas we have prorogued the Parliament lately held by our order in this kingdom, to the twelfth day of November next. And whereas we have thought fit for certain weighty considerations, further to prorogue the said Parliament; ...","England and Wales. Sovereign (1685-1688 : James II); England and Wales. Sovereign (1685-1688 : James II); James II, King of England, 1633-1701.",Printed by Andrew Crook the assign of Benjamin Tooke printer to the King s most excellent Majesty and are to be sold at his Majesties printing house on Ormond Key,Dublin,Ireland --  History --  War of 1689-1691 --  Early works to 1800.,1689
