id,stc,estc,title,author,publisher,pubplace,keywords,date
B08364,A2929B,R224629,"Alter amyntor:, or, The case fairly stated between King Charles I. and Dr. Gauden  Mr. Wagstaff and Mr. Toland, touching icon basilike.  With short notes",Anonymous,Printed and are to be sold by J Nutt near Stationers Hall,London,"Charles --  I, --  King of England, 1600-1649. -- Gauden, John, 1605-1662. -- Wagstaff, --  Mr. -- Toland, --  Mr. -- Great Britain --  Politics and government --  1689-1702. -- Broadsides --  England --  17th century.",1699
B08682,C1906A,R232858,"To all Arch-Bishops, and Bishops, who are not a shame (to) or ashamed (of) the name of Christ before men, grace, wisdom and truth, from God our Father, and from our Lord Jesus Christ, amen.","Chamberlen, Peter, 1601-1683.; Chamberlen, Peter, 1601-1683.",s n,London,Church of England --  Bishops --  Early works to 1800. -- Church of England --  Clergy --  Training of --  Early works to 1800. -- Broadsides --  England --  17th century.,1682
B09002,E722AA,R174972,"The inclosing of Jarrowslike and making ballast-shores on it, will greatly advantage the river Tyne and all ships trading to that port and be no real damage to any unless it be so, to some perticular ballast-wharfs already made on the river in places not so fit for that use as this will be when tis done : the preservation of the river, or what may any way damage the trade of Newcastle in general, being intended to be provided for in the bill.","Trinity House (London, England).",s n,S l,"Ballast (Ships). -- Mooring of ships --  England --  Early works to 1800. -- Tyne, River (England). -- Great Britain --  Politics and government --  1689-1702.",1670
B09753,P2913A,R234216,"The musical shepeherdess, or, Dorinda's lamentation for the loss of Amintas Amintas all Arcadia's glory was, a youth so sweet that all he did surpass.  But times all mowing sith this flower did cut, fate to his days hath the last period put : for musick and for singing, who but he, was fit to help the Gods with harmony?  His fair Dorinda, seeing he was gone, and she poor mournful damsel left alone, invokes the nymphs to sing his praise, whilst she a garland weaves, then ends her days, resolving not to stay behind her love, she being deny'd him here, mounts above.  To a pleasant new tune, called Amintas farewel, or, Digby's farewel.","Pope, Walter, d. 1714.; Pope, Walter, d. 1714.",Printed for J Hose next the Rose neer Houlbourn Bridge,London,"Ballads, English --  17th century. -- Broadsides --  England --  17th century.",1660-1675?
B06060,S966,None,"The Scotch vvooing of Willy and Nanny to a pleasant new tune: or, Nanny O. This may be printed, R.P.",Anonymous,Printed for P Brooksby at the Golden Ball in Pye corner,London,"Broadsides --  England --  London --  Early works to 1800. -- Love poetry, English --  England --  Early works to 1800. -- Ballads --  England --  17th century.",1685-1688?
B09846,R519B,R182432,"Reasons for the reversal of the decree against Mrs. Bertie, and her sons",Anonymous,s n,London,Inheritance and succession --  England --  Early works to 1800.,1690
B08897,D549,R222244,"The declaration and remonstrance of the sea-men and mariners, concerning the present war and engagement between the Parliament of England and the Hollanders : with their gallant resolution to live and die together in the defence and preservation of religion, law, liberty, and freedom, and a list of the names of the English fleet, together with the number of men and ordnanoe [sic].",Anonymous,Printed for George Horton,London,"Great Britain --  History, Naval --  Stuarts, 1603-1714 --  Sources. -- Anglo-Dutch War, 1652-1654. -- Great Britain --  Foreign relations --  Netherlands --  Early works to 1800. -- Netherlands --  Foreign relations --  Great Britain --  Early works to 1800.",1653
B06824,None,None,From her childhood I fynde that she fled,Anonymous,No publisher,No pubplace,English poetry --  16th century.,1500-1599?
B09946,S524,R183219,"Sam, against sheperd: or, Reasons offer'd by the new East-India Company, for passing the bill, for raising two millions, with the benefit of the trade to India, in the year 1698. and reasons now offer'd by the New East-India Company, against the bill for continuing the Old East-India Company a corporation, in this present year, 1699.",England and Wales. Parliament.,s n,London,East India Company. -- Great Britain --  Commerce --  India --  Early works to 1800. -- India --  Commerce --  Great Britain --  Early works to 1800. -- Broadsides --  England --  17th century.,1699
B08997,E696A,R174970,"To all persons that have any sense of the reality of vertue in the pursuit of my design to demonstrate, that the people called Quakers, deserve more favour from the Church of England, than any other sort of dissenters. I shall here recite some passages in the Book of common-prayer, to which they acknowledge, that it is their duty, and that in Christ they have a power, to conform themselves in the whole course of their lives. / By Edmund Elys.","Elys, Edmund, ca. 1634-ca. 1707.; Elys, Edmund, ca. 1634-ca. 1707.",s n,London,Church of England. --  Book of common prayer --  Early works to 1800. -- Quakers --  Apologetic works --  Early works to 1800. -- Prayer --  Early works to 1800.,1698
B06924,None,None,"Strange nevvs from Shadvvell, being a true and just relation of the death of Alice Fowler, who had for many years been accounted a witch; together with the manner how she was found dead with both her great toes ty'd together, and laid out on the floor having a blanket flung over her. She being left lock'd up alone by her nurse, with a discovery of what markes or teats were found about her, when she was searched by the neighbours.",Anonymous,Printed by E Mallet,London,"Fowler, Alice --  Early works to 1800. -- Witchcraft --  England --  London --  Early works to 1800.",1685
B03501,G1616,R177630,"The mystery of faith opened up: or Some sermons concerning faith (two where of were not formerly printed.) Wherein the nature, excellency, and usefulness of that noble grace is much cleared, and the practice thereof most powerfully pressed.  Whereunto are added other three sermons, two concerning the great salvation, one of these not formerly printed, and a third concerning death. / By that pious and worthy servant of Jesus Christ, Mr. Andrew Gray, late minister of the Gospel in Glasgow. All these sermons being now carefully revised, and much corrected.","Gray, Andrew, 1633-1656.; Gray, Andrew, 1633-1656.; Traill, Robert, 1642-1716.; Stirling, John, b. 1621?",Printed by Robert Sanders and are to be sold at his shop,Glasgow,"Church of Scotland --  Sermons --  17th century. -- Bible. --  N.T. --  John, 1st, III, 23 --  Sermons --  17th century. -- Bible. --  N.T. --  Hebrews II, 3 --  Sermons --  17th century. -- Bible. --  O.T. --  Psalms LXXXIX, 48 --  Sermons --  17th century. -- Faith --  Sermons --  17th century. -- Salvation --  Christianity --  Sermons --  17th century. -- Death --  Religious aspects --  Christianity --  Sermons --  17th century.",1668
B09499,M990AB,W8639,"By His Excellency a proclamation. Whereas His Majesty hath been graciously pleased, by his royal letter, bearing date the sixteenth day of October last past, to signifie that he hath received undoubted advice that a great and sudden invasion from Holland, with an armed force of forreigners and strangers, will speedily be made in an hostile manner upon His Majesty's kingdom of England ...","Territory and Dominion of New-England. President (1686-1689 : Andros); Territory and Dominion of New-England. President (1686-1689 : Andros); Andros, Edmund, Sir, 1637-1714.",by R P,Printed at Boston in New England,"Great Britain --  History --  Revolution of 1688 --  Sources. -- United States --  History --  King William's War, 1689-1697 --  Sources. -- Broadsides --  Massachusetts --  17th century.",1689
B02381,C6158A,R174256,"The copie of a letter, showing the true relation, of the late and happie victorie, receaved by the Marques of Montrose, agaynst Generall Lievetenant Baylie, and others of the rebells, at Alfood, the second of Iulie, 1645.",Anonymous,J Brown,Aberdeen,"Montrose, James Graham, --  Marquis of, 1612-1650 --  Early works to 1800. -- Scotland --  History --  Charles I, 1625-1649 --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1645
B05815,S289B,R183163,Sail crefydd Ghristnogol.,Anonymous,s n,London,"Catechisms, Welsh --  Early works to 1800.",1688
B03350,F1579A,R177183,"The form of the proceeding to the coronation of their Majesties, King James the Second, and Queen Mary, the 23 of this instant April 1685. To be punctually observed by all persons therein concerned.",Anonymous,by the heir of Andrew Anderson,No pubplace,"James --  II, --  King of England, 1633-1701 --  Coronation --  Early works to 1800. -- Mary, --  Queen, consort of James II, King of England, 1658-1718 --  Coronation --  Early works to 1800. -- Broadsides --  Scotland --  17th century",1685
B04080,L2464C,R181344,"A list of the names of such of the subscribers of land and money towards a fund for the national land-bank, who having paid in their subscription-money, or subscribed the last instrument, are intituled to elect or be elected directors of the said bank.","Land Bank (London, England); Land Bank (London, England)",s n,London,Land banks --  Great Britain --  Early works to 1800. -- Broadsides --  England --  17th century.,1695
B05051,R2149,None,"The royal recreation; or, A second part, containing the passages between the farmer and his wife at their return home, where they found the King with his noble retinue. Tune of Let Caesar live long. Licensed according to order.",Anonymous,Printed for P Brooksby J Deacon J Blare J Back,London,"Ballads, English --  17th century.",1688-1692?
B05700,S1935,R183558,"A proclamation for the more effectual uplifting and inbringing the annexed and additional excise. Edinburgh, August 14, 1695.","England and Wales. Sovereign (1694-1702 : William III); England and Wales. Sovereign (1694-1702 : William III); William III, King of England, 1650-1702.",Printed by the heirs and successors of Andrew Anderson,Edinburgh,Brewing industry --  Law and legislation --  Scotland --  Early works to 1800. -- Excise tax --  Law and legislation --  Great Britain --  Early works to 1800. -- Broadsides --  Scotland --  17th century.,1695
