id,stc,estc,title,author,publisher,pubplace,keywords,date
A84472,E782,R36234,"By the Council of State. A Proclamation. Whereas the Parliament assembled at Westminster the third of November, one thousand six hundred and forty, is now dissolved, and the care and preservation of the publick in this interval, is in a special manner, committed by authority of Parliament, to the Council of State, ...",England and Wales. Council of State.; England and Wales. Council of State.,Printed by Abel Roper and Tho Collins Printers to the Council of State,London,"Assembly, Right of --  England --  London --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.",1660
A82966,E1748,R212095,"Die Jovis, 27 Februarii, 1650. Ordered by the Parliament, that the officers belonging to the recruits and forces which now are, or hereafter shall be raised for the service of this Commonwealth in Ireland, do constantly attend their respective charges; ...",England and Wales. Parliament.; England and Wales. Parliament.,Printed by John Field Printer to the Parliament of England,London,Great Britain --  Militia --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.,1651
A86009,G765,R21730,"VVholesome severity reconciled with Christian liberty. Or, the true resolution of a present controversie concerning liberty of conscience. Here you have the question stated, the middle way betwixt popish tyrannie and schismatizing liberty approved, and also confirmed from Scripture, and the testimonies of divines, yea of whole churches: the chiefe arguments and exceptions used in The bloudy tenent, The compassionate samaritane, M.S. to A.S. &c. examined. Eight distinctions added for qualifying and clearing the whole matter. And in conclusion a parænetick to the five apologists for choosing accommodation rather then toleration. Imprimatur. Ia. Cranford. Decemb 16. 1644.","Gillespie, George, 1613-1648.; Gillespie, George, 1613-1648.",Printed for Christopher Meredith and are to be sold at the Signe of the Crane in Pauls Churchyard,London,"Williams, Roger, 1604?-1683. --  Bloody tenent yet more bloody. -- Walwyn, William, 1600-1681. --  Compassionate Samaritane. -- Liberty of conscience --  Early works to 1800. -- Freedom of religion --  England --  Early works to 1800.",1645
A83344,E2125,R206803,"The Parliament of Englands message to the Queen of Sweden; to be presented by Mr. Atturney-General Prideaux; in the name of themselves, and the common-wealth of England. Also their sending of a letter to the King of Denmark; with a narrative of the proceedings of the states of Holland; and the embassie of the King of Scots, sent by Lord Digby. Likewise the concluding of a peace between the King of France, and the King of Spain; and a golden staff presented to the said King of Scots, for his composing the differences between both crowns.","Smith, T., fl. 1652.; England and Wales. Parliament.",for James Nichols,Imprinted at London,"Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800.",1652
A82673,E1411A,R212873,"A declaration of the Lords and Commons assembled in Parliament, for the appeasing and quieting of all unlawfull tumults and insurrections in the severall counties of England and dominion of Wales. / Die Veneris 2 Septemb. 1642. Ordered by the Lords and Commons assembled in Parliament, that this declaration shall be forthwith printed, and afterwards published in all market-townes, parish-churches, and chappels, within the kingdome of England and dominion of Wales, and especially in the county of Essex. ; J. Brown cler. Parliamentorum.","England and Wales. Parliament.; England and Wales. Parliament.; Browne, John, ca. 1608-1691.",Printed for J Wright,London,"Great Britain --  History --  Civil War, 1642-1649. -- Great Britain --  Politics and government --  1642-1649.",1642
A83515,E237,R201273,"The third part of Gangræna. Or, A new and higher discovery of the errors, heresies, blasphemies, and insolent proceedings of the sectaries of these times; with some animadversions by way of confutation upon many of the errors and heresies named. ... Briefe animadversions on many of the sectaries late pamphlets, as Lilburnes and Overtons books against the House of Peeres, M. Peters his last report of the English warres, The Lord Mayors farewell from his office of maioralty, M. Goodwins thirty eight queres upon the ordinance against heresies and blasphemies, M. Burtons Conformities deformity, M. Dells sermon before the House of Commons; ... As also some few hints and briefe observations on divers pamphlets written lately against me and some of my books, ... / By Thomas Edvvards Minister of the Gospel.","Edwards, Thomas, 1599-1647.; Edwards, Thomas, 1599-1647.",Printed for Ralph Smith at the Bible in Cornehill,London,"Lilburne, John, 1614?-1657 --  Early works to 1800. -- Christian sects --  England --  Early works to 1800. -- Great Britain --  Church history --  17th century --  Early works to 1800.",1646
A86109,H1165,R21233,"A continuation of the last occurrences from Irland [sic], or, The copie of a letter sent from Lievtenant Haward, to Mr. Walter Fitz-Williams Esquire, lying neere the privie garden in White-Hall. Dated at Duncannon fort in Jreland, March 29. 1642. Both good and true.","Haward, Lazarus.; Haward, Lazarus.",Printed for John Thomas,London,Duncannon (Wexford) --  History --  Early works to 1800. -- Waterford (County) --  History --  Early works to 1800. -- Ireland --  History --  Rebellion of 1641 --  Early works to 1800.,1642
A82295,D871,R211231,"A letter from Sir George Booth to a friend of his shewing the reasons of his present engagement in defence of his countries liberties, &c.","Delamer, George Booth, Baron, 1622-1684.; Delamer, George Booth, Baron, 1622-1684.",s n,London,England and Wales. --  Parliament --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.,1659
A81013,C7170D,R207635,"His Highnesse the Lord Protector's speeches to the Parliament in the painted chamber, the one on Munday the 4th of September; the other on Tuesday the 12. of September. 1654. Taken by one who stood very near him, and published to prevent mistakes.",England and Wales. Lord Protector (1653-1658 : O. Cromwell); England and Wales. Lord Protector (1653-1658 : O. Cromwell),Printed by T R and E M for G Sawbridge at the Bible on Ludgate hill,London,Great Britain --  Politics and government --  1649-1660.,1654
A80524,C62,R211355,"Magna charta containing that which is very much the sence and agreement of the good people of these nations, notwithstanding their differences relating to worship. Humbly tendered to those that are in eminent place, both in a civil and in a military capacity, and earnestly desired that it may be by them also (in this juncture of affaires) speedily concurred with, resolved upon, and vigorously prosecuted, for the escaping of the sadest, and for the enjoying of the joyfullest dayes and station, that England hath seen. By an unfeined lover of his countrys welfare, and a sincere promoter of the Common-wealth and just concernments of all men. As some further essay in order to a well grounded vnity, peace and settlement, of the poor shaken and shattered nations, upon that sure and durable foundation of righteousness, which will without doubt, according to the wise mans experience, not only establish, but exalt a nation.",J. C.; J. C.,Printed for Francis Smith and are to be sold at his shop at the Elephant and Castle near Temple Barre,London,Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.,1659
A85769,G2212,R207805,"The throne of David, or An exposition of the second of Samuell wherein is set downe the pattern of a pious and prudent Prince, and a clear type of of [sic] the Prince of Princes Christ Iesus the sonne of David and his spirituall kingdome by William Guild D.D. and minister of Gods word at King-Edward in Scotland.","Guild, William, 1586-1657.; Guild, William, 1586-1657.",printed by W Hall for Rob Blagrave,Oxford,Bible. --  O.T. --  Samuel II --  Commentaries --  Early works to 1800.,1659
A80375,C592bA,R14779,"A declaration by James Earl of Carlile, Lord of the Caribee Islands, or province of Carliola. Manifesting his care of, and affection to, the good and welfare of the inhabitants of the island of Barbadoes, and of all other people under his government.","Carlisle, James Hay, Earl of, ca. 1612-1660.; Carlisle, James Hay, Earl of, ca. 1612-1660.",s n,London,"Carlisle, James Hay, --  Earl of, ca. 1612-1660 --  Early works to 1800. -- Barbados --  History --  17th century --  Early works to 1800.",1648
A81113,C7465,R211277,"Dantur rationes boni, & mali æternæ, & indispensabiles.","Cudworth, Ralph, 1617-1688.; Cudworth, Ralph, 1617-1688.",s n,Cambridge,Conduct of life --  Early works to 1800.,1651
A89852,N315,R211508,"The secret shooting of the wicked, reproved or, A word to the namelesse publisher of that he calls strength in weaknesse, or the burning bush.","Naylor, James, 1617?-1660.; Naylor, James, 1617?-1660.",s n,London,Christian literature --  Early works to 1800. -- Christian life --  Early works to 1800.,1655
A86725,H3393,R211304,"The Humble advice, and tender declaration, or remonstrance of several thousands of men fearing God, in the county of Durham, Northumberland, and the adjacent parts of Westmerland and Cumberland, with the north part of Yorkshire; to the Lord General Monk and those vvith him.",Anonymous,Printed by Henry Hills dwelling next door to the Peacock in Aldersgate street,London,"Albemarle, George Monck, --  Duke of, 1608-1670. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660. -- Broadsides --  England --  17th century.",1659
A83468,E2277,R211962,"Die Jovis, 18 Julii, 1650. Resolves of Parliament, for the suspending and making void of all licenses granted or to be granted to any persons comprised within the late Act for removing delinquents from London and Westminster, and twenty miles thereof.",England and Wales. Parliament.; England and Wales. Parliament.,Printed by Edward Husband and Iohn Field Printers to the Parliament of England,London,"Exile (Punishment) --  England --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800.",1650
A88521,L3007,R211786,"Look abovt yov or, A groatsworth of good councel for a peny : being variety of councels, cautions, caveats, and directions : which, as they are necessary for young-men; so they are not to be rejected by old-men.",Anonymous,Printed for G Horton,London,Young men --  Conduct of life --  Early works to 1800. -- Maxims --  Early works to 1800.,1654
A88442,L2851P,R211991,"An Act of Common Councell, for the prohibiting of all persons vvhatsoever, from crying or putting to sale about the streets within this city, and liberties, any pamphlets, books, or papers whatsoever, by way of hawking, to be sold and for the punishment of the offenders therein, according to the custome and law of this city.",City of London (England). Court of Common Council.; City of London (England). Court of Common Council.; England and Wales. Parliament.,Printed by Richard Cotes printer to the Honourable City of London,London,"London (England) --  History --  17th century --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1643
A80216,L2330B,R210182,"The lineage of locusts or the Popes pedegre. Beginning with his prime ancestor the Divell, plainely set forth to be noted of all good Christians and true Catholicks, for the avoiding of those subtill snares continually layd for them by his insinuating agents.",Anonymous,s n,London,Catholic Church --  Controversial literature --  Early works to 1800. -- Anti-Catholicism --  Great Britain --  Early works to 1800.,1641
A82878,E1636bA,R211996,"Die Martis, 24 October, 1643. The Lords and Commons in Parliament having received certain notice of a cessation of arms concluded with the rebells in Ireland, ...",England and Wales. Parliament.; England and Wales. Parliament.,Printed for Edward Husbands,London,"Privateering --  England --  17th century --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1643
A80998,C7161,R212257,By His Highness a proclamation prohibiting horse races for six moneths.,"England and Wales. Lord Protector (1653-1658 : O. Cromwell); England and Wales. Lord Protector (1653-1658 : O. Cromwell); Cromwell, Oliver, 1599-1658.",Printed by Henry Hills and John Field Printers to His Highness,London,Horse racing --  Law and legislation --  England --  Early works to 1800. -- Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.,1655
A83227,E2008,R210775,"An ordinance of the Lords and Commons assembled in Parliament for the putting out of the cities of London and VVestminster, and late lines of communication, and twenty miles distant, for six months, all delinquents, papists, and others that have been in armes against the Parliament.",England and Wales. Parliament.; England and Wales. Parliament.; City of London (England). Committee for the Militia.,s n,London,"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800. -- London (England) --  History --  17th century --  Early works to 1800.",1648
A85962,G623,R210313,"Artificiall fire or Coale for rich and poore. This being the offer of an excellent nevv invention, by Mr. Richard Gesling ingineer, (late deceased) but now thought fit to be put in practice. Read, practice, judge.",Anonymous,Printed by Richard Cotes for Michael Spark Senior,London,"Gesling, Richard. -- Fire --  Early works to 1800. -- Heating --  Early works to 1800. -- Inventions --  Great Britain --  Early works to 1800.",1644
A85126,F461,R211178,"A salt teare or, The vveeping onion, at the lamentable funerall of Dr. Dorislaus.",Anonymous,s n,London,"Dorislaus, Isaac, 1595-1649 --  Poetry --  Early works to 1800. -- Elegiac poetry, English.",1649
A85777,G2234,R202279,"A contention for truth: in two several publique disputations. Before thousands of people, at Clement Dane Church, without Temple Barre: upon the 19 of Nevemb. [sic] last: and upon the 26 of the same moneth. Betweene Mr Gunning of the one part, and Mr Denne on the other. Concerning the baptisme of infants; whether lawful, or unlawful.","Gunning, Peter, 1614-1684.; Gunning, Peter, 1614-1684.; Denne, Henry, 1606 or 7-1660?",Printed by J Moxon for Francis Smith and are to be sold at his shop in Flying Horse Court in Fleetstreet neer Chancery Lane end And by John Sweeting at the signe of the Angel in Popes head Alley,London,Infant baptism --  Early works to 1800.,1658
A85057,F2537,R210629,"A funeral monument or the manner of the herse of the most renowned Robert Devereux, Earl of Essex and Ewe, Viscount Hereford, L. Ferrers of Charley, Bourchier and Lovaine, Englands late Lord Generall, who deceased Septemb. 14. 1646. VVith a briefe recitement of his valour and fidelity in the kingdomes just cause, against the enemies of religion, Parliament and kingdome, whose funerall is to be solemnized on Tuesday the 13. of October, 1646.",Anonymous,Printed for J Hancock in Popes head Alley,London,"Essex, Robert Devereux, --  Earl of, 1591-1646 --  Poetry --  Early works to 1800. -- Elegiac poetry, English. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1646
A82874,E1631C,R210439,"Die Sabbatie 9. April. 1642. The Lords and commons do declare, that they intend a due and necessary reformation of the government and liturgie of the church, ...",England and Wales. Parliament.; England and Wales. Parliament.,by Robert Barker printed to the Kings most Excellent Majestie and by the assignes of Iohn Bill,Imprinted at London,Church of England --  Government --  Early works to 1800. -- Church and state --  Great Britain --  17th century --  Early works to 1800.,1642
A84460,E775aA,R211526,"A declaration from the Generall and Council of State to incite all the good people of these nations to thankfullness and holy rejoycing in the Lord, for the late great victory at sea, obtained by the fleet of this Common-wealth against the Dutch, upon Thursday and Friday being the second and third of June 1653.",England and Wales. Council of State.; England and Wales. Council of State.,printed for Giles Calvert Henry Hills and Thomas Brewster,London,"Anglo-Dutch War, 1652-1654 --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800. -- Great Britain --  History, Naval --  Stuarts, 1603-1714 --  Early works to 1800. -- Broadsides --  England",1653
A85606,G1716A,R43862,"Great news from Dartmouth in Devonshire of the wonderful escape of divers French Protestants from Charente near Rochel, and thier safe arrival at Dartmouth, the 24th of March.",Anonymous,Printed for Richard Baldwin,London,Persecution --  France --  History --  17th century. -- Protestants --  France --  17th century. -- Broadsides --  London (England) --  17th century.,1692
A81001,C7163,R212249,By His Highness a proclamation prohibiting the disturbing of ministers and other Christians in their assemblies and meetings.,"England and Wales. Lord Protector (1653-1658 : O. Cromwell); England and Wales. Lord Protector (1653-1658 : O. Cromwell); Cromwell, Oliver, 1599-1658.",Printed by Henry Hills and John Field Printers to His Highness,London,Freedom of religion --  England --  Early works to 1800. -- Great Britain --  Religion --  17th century --  Early works to 1800.,1655
A80267,C5597D,R231029,"The last national address presented to his Majesty at Hampton-Court, the 16th. day of November 1700 by the right honourable the Lord Yester, Sir John Pringle of Stitchell and Sir Peter Wedderburn of Gosford baronets, commissioners appointed for that end.",Company of Scotland Trading to Africa and the Indies.; Company of Scotland Trading to Africa and the Indies.,s n,S l,Scotland --  History --  1689-1745 --  Early works to 1800. -- Scotland --  Commerce --  Africa --  Early works to 1800. -- Scotland --  Commerce --  East Indies --  Early works to 1800. -- Broadsides --  Scotland,1700
A81750,D2187A,R220001,Droytwich case,Anonymous,s n,London,Salt industry and trade --  Law and legislation --  England --  Early works to 1800. -- Industries --  England --  Droitwich --  Early works to 1800. -- Droitwich --  Economic conditions --  Early works to 1800. -- Broadsides --  England,1689
A86166,H1340A,R202387,"Clarastella together with poems occasional, elegies, epigrams, satyrs. / By Robert Heath, Esquire.","Heath, Robert, fl. 1636-1659.; Heath, Robert, fl. 1636-1659.",Printed for Humph Moseley and are to be sold at his shop at the signe of the Princes Arms in S Pauls Church yard,London,No Keywords,1650
A88262,L2190,R211357,"To the supreme authority, the people assembled in Parliament. The humble petition of Lieutenant Colonel John Lilburne.","Lilburne, John, 1614?-1657.; Lilburne, John, 1614?-1657.; England and Wales. Parliament.",s n,London,"Lilburne, John, 1614?-1657 --  Imprisonment --  Early works to 1800. -- Debt cancellation --  England --  Early works to 1800. -- Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800.",1650
A80994,C7158,R211885,By the Protector. A proclamation of the peace made betwixt this Common-wealth and Portugal.,"England and Wales. Lord Protector (1653-1658 : O. Cromwell); England and Wales. Lord Protector (1653-1658 : O. Cromwell); Cromwell, Oliver, 1599-1658.",Printed by Henry Hills and John Field Printers to His Highness,London,England --  Foreign relations --  Portugal --  Early works to 1800. -- Portugal --  Foreign relations --  England --  Early works to 1800.,1657
A86105,H1159,R210483,Have amongst you my masters.,Anonymous,s n,London,"Political ballads and songs --  Great Britain --  17th century. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1647
A87363,J1060,R5500,"Rules to know a royall king, from a disloyall subject. With an exact account given of the jewels of the crowne of England. Whereunto is added, a touch-stone for a traitor. VVritten by the Kings friend, and a lover of the Common-wealth, Tho: Jordan.","Jordan, Thomas, 1612?-1685?; Jordan, Thomas, 1612?-1685?",Printed for Robert Wood and Edward Christopher,London,"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1642
A86654,H3188,R202550,"The visitation of the rebellious nation of Ireland. And a warning from the Lord proclaimed, to all the inhabitants thereof, to make their peace with him before hislong [sic] suffering come to an end. With a lamentation over its unfruitfulnes and rebellion after so many visitations. And an exhortation to all the honest hearted, to meet the Lord by repentance, while the patience of the Lord continues. Or the sealing of the Lords testimony unto all sorts of people in that land, by his servants, after their several months sore labours, and travells, and sufferings therein, who loved not their lives for the seeds sake. Also some particular papers, written in that nation, to severall sorts of people. I. A warning, to the heads, and rulers, and people of Dublin. ... VII. An invitation to all the poor desolate souldiers, to repent, and make their peace with the Lord, and their duty shewed them, what the Lord requires of them. By them who are sufferers, for the seeds sake; waiting for the building of distressed Sion: F.H. E.B.","Howgill, Francis, 1618-1669.; Howgill, Francis, 1618-1669.; Burrough, Edward, 1634-1662.",printed for Giles Calvert at the west end of Pauls,London,Society of Friends --  Doctrines --  Early works to 1800. -- Ireland --  History --  1649-1660 --  Early works to 1800.,1656
A88201,L2120,R211300,"The innocent mans's second-proffer made unto his present adversaries October 22. 1649. And communicated unto them, by his loving brother, Collonell Robert Lilburne.","Lilburne, John, 1614?-1657.; Lilburne, John, 1614?-1657.",s n,London,"Lilburne, John, 1614?-1657 --  Imprisonment --  Early works to 1800. -- Detention of persons --  England --  Early works to 1800. -- Prisoners --  Legal status, laws, etc. --  Early works to 1800.",1649
A83082,E1876,R212172,"Die Lunæ, 8 Aprilis, 1644. An ordinance of the Lords and Commons in Parliament assembled, for continuance of the excise or new-impost for one whole yeer longer, to commence the eleventh of September next, 1644.",England and Wales. Parliament.; England and Wales. Parliament.,Printed by Richard Cotes and John Raworth,Loudon sic,"Taxation --  England --  Early works to 1800. -- Excise tax --  England --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1644
