id,stc,estc,title,author,publisher,pubplace,keywords,date
A13802,24100,S118449,"Albumazar A comedy presented before the Kings Maiestie at Cambridge, the ninth of March. 1614. By the Gentlemen of Trinitie Colledge.","Tomkis, Thomas, fl. 1604-1615.; Tomkis, Thomas, fl. 1604-1615.; Porta, Giambattista della, 1535?-1615. Astrologo.",Printed by Nicholas Okes for Walter Burre and are to be sold at his shop in Pauls Church yard,London,No Keywords,1615
A17929,4590,S111592,Here begynneth a litill boke necessarye [and] behouefull a[g]enst the pestilence,"Joannes Jacobi, d. 1384. Régime de l'épidémie.; Knutsson, Bengt, d. 1462, attributed name.; Mikkelsen, Knud, attributed name.",W de Machlinia,London,Plague --  Early works to 1800.,1485
A14670,24971,S119399,"Salomons sweete harpe consisting of fiue words, like so many golden strings, toucht with the cunning hand of his true skill, commanding all other humane speech: wherein both cleargie and laitie may learne how to speake. Preached of late at Thetford before his Maiestie, by Thomas Walkington Batchelour in Diuinitie, and fellow of S. Iohns Colledge in Cambridge.","Walkington, Thomas, d. 1621.; Walkington, Thomas, d. 1621.",Printed by Cantrell Legge printer to the Vniuersitie of Cambridge,Cambridge,"Sermons, English --  17th century.",1608
A14021,24328,S121817,"The noble arte of venerie or hunting VVherein is handled and set out the vertues, nature, and properties of fiutene sundrie chaces togither, with the order and maner how to hunte and kill euery one of them. Translated and collected for the pleasure of all noblemen and gentlemen, out of the best approued authors, which haue written any thing concerning the same: and reduced into such order and proper termes as are vsed here, in this noble realme of England. The contentes vvhereof shall more playnely appeare in the page next followyng.","Gascoigne, George, 1542?-1577.; Gascoigne, George, 1542?-1577.; Turberville, George, 1540?-1610?, attributed name.; Fouilloux, Jacques du, 1521?-1580. Vénerie.",Imprinted by Henry Bynneman for Christopher Barker,London,Hunting --  Early works to 1800.,1575
A15516,25782,S111811,The pedlers prophecie,"Wilson, Robert, d. 1600.; Wilson, Robert, d. 1600.",Printed by Tho Creede and are to be sold by William Barley at his shop in Gratious streete,London,No Keywords,1595
A14770,25067,S118078,"Tvvo histories of Ireland. The one written by Edmund Campion, the other by Meredith Hanmer Dr of Divinity","Campion, Edmund, Saint, 1540-1581.; Campion, Edmund, Saint, 1540-1581.; Hanmer, Meredith, 1543-1604. aut; Ware, James, Sir, 1594-1666.; Spenser, Edmund, 1552?-1599. aut",Printed by the Society of Stationers and London by Thomas Harper,Dublin,Ireland --  History --  Early works to 1800.,1633
A12197,22507,S102406,"The saints safetie in evill times Delivered at St Maries in Cambridge the fift of November, upon occasion of the Povvder-Plot. Whereunto is annexed a passion-sermon, preached at Mercers Chappel London upon Good-Friday. As also the happinesse of enjoying Christ laid open at the funerall of Mr Sherland late recorder of Northampton. Together with the most vertuous life and heavenly end of that religious gentleman. By R. Sibbes D.D. master of Katherine-Hall in Cambridge, and preacher at Grayes-Inne London.","Sibbes, Richard, 1577-1635.; Sibbes, Richard, 1577-1635.",Printed by M Flesher for R Dawlman at the Brazen Serpent in Pauls Church yard,London,"Sermons, English --  17th century.",1634
A12471,22796,S111906,"The true travels, adventures, and observations of Captaine Iohn Smith, in Europe, Asia, Affrica, and America, from anno Domini 1593. to 1629 His accidents and sea-fights in the straights; his service and stratagems of warre in Hungaria, Transilvania, Wallachia, and Moldavia, against the Turks, and Tartars ... After how he was taken prisoner by the Turks, sold for a slave ... and escaped ... Together with a continuation of his generall History of Virginia, Summer-Iles, New England, and their proceedings, since 1624. to this present 1629; as also of the new plantations of the great river of the Amazons, the iles of St. Christopher, Mevis, and Barbados in the West Indies. All written by actuall authours, whose names you shall finde along the history.","Smith, John, 1580-1631.; Smith, John, 1580-1631.; Cecil, Thomas, fl. 1630, engraver.",Printed by I ohn H aviland for Thomas Slater and are to bee sold by Michael Sparke at the Blew Bible in Greene Arbour,London,Voyages and travels --  Early works to 1800.,1630
A19438,5864,S302,"A short vievv of the long life and raigne of Henry the Third, King of England presented to King Iames.","Cotton, Robert, Sir, 1571-1631.; Cotton, Robert, Sir, 1571-1631.",s n,S l,"Henry --  III, --  King of England, 1207-1272. -- Great Britain --  History --  Henry III, 1216-1272.",1627
A19369,5797,S100322,"The art of riding conteining diuerse necessarie instructions, demonstrations, helps, and corrections apperteining to horssemanship, not herettofore expressed by anie other author: written at large in the Italian toong, by Maister Claudio Corte, a man most excellent in this art. Here brieflie reduced into certeine English discourses to the benefit of gentlemen and others desirous of such knowledge.","Corte, Claudio.; Corte, Claudio.; Bedingfield, Thomas, d. 1613.",By H Denham,Imprinted at London,Horsemanship --  Early works to 1800.,1584
