id,stc,estc,title,author,publisher,pubplace,keywords,date
B12640,7867.5,S112986,An acte for the amendynge of hyghe wayes,"England and Wales. Sovereign (1553-1558 : Mary I); England and Wales. Sovereign (1553-1558 : Mary I); Mary I, Queen of England, 1516-1558.",In ædibus Iohannis Cavvodi typographi regiæ maiestatis,Excusum Londini,Highway law --  Great Britain --  Early works to 1800. -- Roads --  England --  Early works to 1800. -- England --  Proclamations --  Early works to 1800.,1555
B12740,8393,None,Wee doe not doubt but that all our subiects (embracing the true religion professed in this Church of England ...,"England and Wales. Sovereign (1603-1625 : James I); England and Wales. Sovereign (1603-1625 : James I); James I, King of England, 1566-1625.",By Robert Barker printer to the Kings most excellent Maiestie,Imprinted at London,"Jesuits --  England --  Legal status, laws, etc. --  Early works to 1800. -- Catholics --  England --  Legal status, laws, etc. --  Early works to 1800.",1606
B12855,8697,S100910,"By the King. A proclamation for reliefe of the poore, and remedying the high prices of corne.",England and Wales. Sovereign (1603-1625 : James I); England and Wales. Sovereign (1603-1625 : James I),By Bonham Norton and Iohn Bill printers to the Kings most Excellent Maiestie,Imprinted at London,Great Britain. --  Sovereign (1603-1625 : James I) --  Miscellaneous Documents. 1622. -- Public welfare --  Law and legislation --  Great Britain --  Early works to 1800. -- Grain trade --  Law and legislation --  Great Britain --  Early works to 1800.,1622
B17570,B1456,R224730,"Reasons, humbly offered to the honourable house of commons, for bringing in a bill, for registring all bills of sale of ships, and vessels of burden, in a general register book, with some objections answered.","Baxter, Simon.; Baxter, Simon.",s n,London,Ships --  England --  Early works to 1800.,1700
B11964,4621,S118628,"A copy of a letter, vvritten by M. Doctor Carier beyond seas, to some particular friends in England. VVhereunto are added certaine collections found in his closet, made by him (as is thought) of the miserable ends of such as haue impugned the Catholike Church. To which also is annexed a briefe exhortation to perseuere constantly in the said Catholike Church, what opposition soeuer may occurre, and the danger of liuing out of the same; and lastly, a few examples of the admirable prosperity, of such as haue defended the Catholike Church","Carier, Benjamin, 1566-1614.; Carier, Benjamin, 1566-1614.",English Secret Press,England,Catholic Church --  Controversial literature --  Early works to 1800.,1615
B16147,None,None,"An answere vnto Sir Thomas Mores dialoge made by Vvillyam Tindale. First he declareth what the church is, and geveth a reason of certayne wordes which Master More rebuketh in the tra[n]slacion of the newe Testament. After that he answereth particularlye vnto everye chaptre which semeth to haue anye apperaunce of truth thorow all his .iiij. bokes","Tyndale, William, d. 1536.; Tyndale, William, d. 1536.",S Cock,Antwerp,"More, Thomas, --  Sir, Saint, 1478-1535. --  Dyaloge of dyvers maters --  Controversial literature --  Early works to 1800. -- Lord's Supper --  Early works to 1800. -- Theology --  Early works to 1800.",1531
B17196,A3564A,None,"The apparent ruine of the glass-makers in England and loss of the said manufacture, by reason of the duties laid thereon, most humbly laid before this honourable House, in hopes to prevent the same.",Anonymous,s n,London,England and Wales. --  Parliament --  Early works to 1800. -- Glass trade --  England --  Early works to 1800. -- Glass --  Taxation --  England --  Early works to 1800. -- Glassworkers --  England --  Early works to 1800.,1696
B12828,8664,None,"By the King. A proclamation for repeale of certaine letters patents, commissions, and proclamations, concerning innes, ale-houses, and the manufacture of gold and siluer threed.","England and Wales. Sovereign (1603-1625 : James I); England and Wales. Sovereign (1603-1625 : James I); James I, King of England, 1566-1625.",by Bonham Norton and Iohn Bill printers to the Kings most excellent Maiestie,Imprinted at London,Gold thread --  Law and legislation --  Early works to 1800. -- Letters patent --  Great Britain --  Early works to 1800. -- Silverwork --  Law and legislation --  Great Britain --  Early works to 1800. -- Taverns (Inns) --  Law and legislation --  Great Britain --  Early works to 1800.,1621
B10246,W76A,R186105,"A coat of divers colours fit for Joseph. Or, Piety in variety. By Jos. W. gentleman.","W., Jos., Gentleman.; W., Jos., Gentleman.",Printed for J W,London,"Religious poetry, English --  Early modern, 1500-1700. -- English poetry --  17th century.",1656
B19961,C3509,R214876,"By the king. A proclamation for the putting in execution of the several laws now in force, relating to His Majesties revenue of excise.","England and Wales. Sovereign (1660-1685 : Charles II); England and Wales. Sovereign (1660-1685 : Charles II); Charles II, King of England, 1630-1685.",printed by the assigns of John Bill deceas d and by Henry Hills and Thomas Newcomb printers to the kings most excellent Majesty,London,"Excise tax --  England --  Early works to 1800. -- Great Britain --  History --  Charles II, 1660-1685 --  Early works to 1800.",1683
