B00136: great time sign many day conjunction good planet eclipse saturn
B00023: god life if man time great death almighty world day
B00039: god faith christ corinthian john work sin mean true give
B00052: great man many take city people country king woman call
B00087: gentle if see work still use praise well play head
B00330: lord god verse king father people mercy holy day beg
B00367: city queen free man keep custom true if warn good
B00396: alex alexander manes love diog apel psyllus if apelles diogenes
B00400: lord holy father christ beg good sin life jesus heart
B00420: take water put well cloth see fair colour iron dry
B00425: pope cardinal man rome joanne woman great english catholic see
B00466: man captain day general enemy great fort french marshal trench
B00475: sin god lord fish great warning see destruction because send
B00482: oil take if put help water fire against good drink
B00537: lord minister god word if man church ministry reader therefore
B00559: king right crown henry scotland lawful england time great if
B00562: god man if poor oppress out cry good great deal
B00565: weep christ death life man god sin if yet see
B00614: if yet simonides man good see out soldier love find
B00728: cooper brewer if pig work wife fat quote well way
B00830: dance man day woman use see sing take mind marriage
B00849: if acre land answer sow good man cause well day
B00960: king great duke town parma france yet take army find
B01022: great first good out trade ship country many well voyage
B01098: man woman signify matrix right womb if side child left
B01207: god man antichrist time world because take day first hour
B07157: great knight esplandian king if see time take good mean
B07173: lord man god judgement out give therefore see wonder heaven
B07183: god man give if good out because speak therefore lord
B07409: bairn blind unhappy evirmaire frabanc savis rin lairn desire lyc
B07428: god lord man if therefore good turn word christ many
B07516: day lord man god time earth christ heaven great see
B07675: god if yet day man lord give people many judgement
B07677: if god manner table good body child use take hand
B07761: take water put together if pot well egg draw out
B07806: man valentine vincent gentleman country good if yet many great
B07957: answer quote god bench sin great pope church godly day
B07975: answer ans man quest question solution because king great yet
B07982: man god death if die good life lord therefore because
B07983: lord if sin land against man nation great give god
B07984: knave time cut style print catch bear yet flat snuff
B07987: life tree axiochus great socrates man death if time mind
B07996: love achilles day if son heaven soul fair hart find
B08014: see rare lord great yes wonderful diverse sin sight arise
B08027: man god good because sort cause love evil christ word
B08102: church god if christ man ver chap lord time word
B08106: god soul if many life see man time body good
B08187: work cut french edge net forrest single cutwork duble purl
B08205: god christ faith word lord sin man john many prayer
B11202: lord good lordship great letter majesty man king prince war
B11289: god poor life man mind among good great many name
B11895: love sonnet heart sweet fair if heaven see beauty nature
B12205: god man glory see die against good grace death hell
B12208: man if great time yet see king against henry many
B12393: god lord good see if life christ yet love death
B12583: crown world fair peace give square green bear article nature
B12663: majesty commission person subject saltpetre great service grant former highness
B13303: overseer churchwarden parish time justice peace work poor place sum
B13519: great see if man wagner turk out faustus good place
B14551: lord church god people great hand earth enemy france time
B14599: person realm pewter use king act craft pewterer ware forfeiture
B14740: bishop hearse lady bear carry stand earl countess white officer
B15101: lord noble hart honour state queen earl day prins king
